#Index  StructureType  Mass(au)  ReactiveSI?
     1    35          2.01580000     0
     2    12         16.04260000     0
     3     8         28.05360000     0
     4    43         29.06150000     0
     5    16         30.06940000     0
     6    33         42.08040000     0
     7    38         42.08040000     0
     8     4         44.09620000     0
     9    13         56.10720000     0
    10    36         56.10720000     0
    11    30         57.11510000     0
    12     5         58.12300000     0
    13    10         70.13400000     0
    14    29         71.14190000     0
    15     9         72.14980000     0
    16     3         84.16080000     0
    17     6         84.16080000     0
    18    15         86.17660000     0
    19    44         97.17970000     0
    20    28         98.18760000     0
    21    25        100.20340000     0
    22    23        112.21440000     0
    23    11        112.21440000     0
    24     7        114.23020000     0
    25    42        126.24120000     0
    26    34        126.24120000     0
    27    37        127.24910000     0
    28    17        128.25700000     0
    29    27        140.26800000     0
    30    26        140.26800000     0
    31    20        141.27590000     0
    32    19        141.27590000     0
    33     1        142.28380000     0
    34    40        154.29480000     0
    35    32        154.29480000     0
    36     2        156.31060000     0
    37    18        156.31060000     0
    38    22        170.33740000     0
    39    39        170.33740000     0
    40    31        184.36420000     0
    41    14        198.39100000     0
    42    21        226.44460000     0
    43    41        226.44460000     0
    44    24        240.47140000     0
    45    45        268.52500000     0
