#GraphIndex  frameIndex  componentIndex
0 1 1
1 1 2
2 1 3
3 1 4
4 1 5
5 1 6
6 1 7
7 1 8
8 1 9
9 1 10
10 1 11
11 1 12
12 2 1
13 2 2
14 2 3
15 2 4
16 2 5
17 2 6
18 2 7
19 2 8
20 2 9
21 2 10
22 2 11
23 2 12
24 3 1
25 3 2
26 3 3
27 3 4
28 3 5
29 3 6
30 3 7
31 3 8
32 3 9
33 3 10
34 3 11
35 3 12
36 4 1
37 4 2
38 4 3
39 4 4
40 4 5
41 4 6
42 4 7
43 4 8
44 4 9
45 4 10
46 4 11
47 4 12
48 4 13
49 5 1
50 5 2
51 5 3
52 5 4
53 5 5
54 5 6
55 5 7
56 5 8
57 5 9
58 5 10
59 5 11
60 6 1
61 6 2
62 6 3
63 6 4
64 6 5
65 6 6
66 6 7
67 6 8
68 6 9
69 6 10
70 6 11
71 6 12
72 7 1
73 7 2
74 7 3
75 7 4
76 7 5
77 7 6
78 7 7
79 7 8
80 7 9
81 7 10
82 7 11
83 8 1
84 8 2
85 8 3
86 8 4
87 8 5
88 8 6
89 8 7
90 8 8
91 8 9
92 8 10
93 8 11
94 8 12
95 9 1
96 9 2
97 9 3
98 9 4
99 9 5
100 9 6
101 9 7
102 9 8
103 9 9
104 9 10
105 9 11
106 9 12
107 10 1
108 10 2
109 10 3
110 10 4
111 10 5
112 10 6
113 10 7
114 10 8
115 10 9
116 10 10
117 10 11
118 11 1
119 11 2
120 11 3
121 11 4
122 11 5
123 11 6
124 11 7
125 11 8
126 11 9
127 11 10
128 11 11
129 12 1
130 12 2
131 12 3
132 12 4
133 12 5
134 12 6
135 12 7
136 12 8
137 12 9
138 12 10
139 12 11
140 12 12
141 13 1
142 13 2
143 13 3
144 13 4
145 13 5
146 13 6
147 13 7
148 13 8
149 13 9
150 13 10
151 13 11
152 13 12
153 14 1
154 14 2
155 14 3
156 14 4
157 14 5
158 14 6
159 14 7
160 14 8
161 14 9
162 14 10
163 14 11
164 15 1
165 15 2
166 15 3
167 15 4
168 15 5
169 15 6
170 15 7
171 15 8
172 15 9
173 15 10
174 15 11
175 16 1
176 16 2
177 16 3
178 16 4
179 16 5
180 16 6
181 16 7
182 16 8
183 16 9
184 16 10
185 16 11
186 16 12
187 17 1
188 17 2
189 17 3
190 17 4
191 17 5
192 17 6
193 17 7
194 17 8
195 17 9
196 17 10
197 17 11
198 18 1
199 18 2
200 18 3
201 18 4
202 18 5
203 18 6
204 18 7
205 18 8
206 18 9
207 18 10
208 18 11
209 19 1
210 19 2
211 19 3
212 19 4
213 19 5
214 19 6
